Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description
15th Street Cafe,78701,12/05/2013,97,"303 W 15TH ST
AUSTIN, TX 78701
(30.277501963873, -97.7425547470704)",2801033,Routine Inspection
15th Street Cafe,78701,12/02/2014,93,"303 W 15TH ST
AUSTIN, TX 78701
(30.277501963873, -97.7425547470704)",2801033,Routine Inspection
15th Street Cafe,78701,06/18/2014,97,"303 W 15TH ST
AUSTIN, TX 78701
(30.277501963873, -97.7425547470704)",2801033,Routine Inspection
15th Street Cafe,78701,05/22/2013,91,"303 W 15TH ST
AUSTIN, TX 78701
(30.277501963873, -97.7425547470704)",2801033,Routine Inspection
15th Street Cafe,78701,05/13/2015,97,"303 W 15TH ST
AUSTIN, TX 78701
(30.277501963873, -97.7425547470704)",2801033,Routine Inspection
1st Food Mart,78704,02/14/2013,97,"1410 S 1ST ST
AUSTIN, TX 78704
(30.2503588610834, -97.7549624438724)",10677646,Routine Inspection
1st Food Mart,78704,01/16/2014,90,"1410 S 1ST ST
AUSTIN, TX 78704
(30.2503588610834, -97.7549624438724)",10677646,Routine Inspection
1st Food Mart,78704,02/09/2015,94,"1410 S 1ST ST
AUSTIN, TX 78704
(30.2503588610834, -97.7549624438724)",10677646,Routine Inspection
1st Food Mart,78704,07/29/2014,90,"1410 S 1ST ST
AUSTIN, TX 78704
(30.2503588610834, -97.7549624438724)",10677646,Routine Inspection
1st Food Mart,78704,07/27/2015,94,"1410 S 1ST ST
AUSTIN, TX 78704
(30.2503588610834, -97.7549624438724)",10677646,Routine Inspection
1st Food Mart,78704,06/17/2013,100,"1410 S 1ST ST
AUSTIN, TX 78704
(30.2503588610834, -97.7549624438724)",10677646,Routine Inspection
1-Stop Food Store,78751,12/23/2014,100,"5101 AIRPORT BLVD
AUSTIN, TX 78751
(30.3123187311296, -97.7149460897257)",10632697,Routine Inspection
1-Stop Food Store,78751,10/28/2015,100,"5101 AIRPORT BLVD
AUSTIN, TX 78751
(30.3123187311296, -97.7149460897257)",10632697,Routine Inspection
1-Stop Food Store,78751,07/11/2014,93,"5101 AIRPORT BLVD
AUSTIN, TX 78751
(30.3123187311296, -97.7149460897257)",10632697,Routine Inspection
1-Stop Food Store,78751,06/26/2013,100,"5101 AIRPORT BLVD
AUSTIN, TX 78751
(30.3123187311296, -97.7149460897257)",10632697,Routine Inspection
1-Stop Food Store,78751,05/15/2015,100,"5101 AIRPORT BLVD
AUSTIN, TX 78751
(30.3123187311296, -97.7149460897257)",10632697,Routine Inspection
1-Stop Food Store,78751,01/08/2014,100,"5101 AIRPORT BLVD
AUSTIN, TX 78751
(30.3123187311296, -97.7149460897257)",10632697,Routine Inspection
21st St. College House,78705,06/25/2013,91,"707 W 21ST ST
AUSTIN, TX 78705
(30.2839482294483, -97.7459310648644)",2800407,Routine Inspection
21st St. College House,78705,10/07/2015,80,"707 W 21ST ST
AUSTIN, TX 78705
(30.2839482294483, -97.7459310648644)",2800407,Routine Inspection
21st St. College House,78705,01/22/2014,100,"707 W 21ST ST
AUSTIN, TX 78705
(30.2839482294483, -97.7459310648644)",2800407,Routine Inspection
21st St. College House,78705,03/30/2015,93,"707 W 21ST ST
AUSTIN, TX 78705
(30.2839482294483, -97.7459310648644)",2800407,Routine Inspection
21st St. College House,78705,08/14/2014,97,"707 W 21ST ST
AUSTIN, TX 78705
(30.2839482294483, -97.7459310648644)",2800407,Routine Inspection
24 Diner,78703,01/24/2013,79,"600 N LAMAR BLVD
AUSTIN, TX 78703
(30.2718120740367, -97.7540345720547)",2800411,Routine Inspection
24 Diner,78703,12/23/2014,74,"600 N LAMAR BLVD
AUSTIN, TX 78703
(30.2718120740367, -97.7540345720547)",2800411,Routine Inspection
24 Diner,78703,07/21/2015,80,"600 N LAMAR BLVD
AUSTIN, TX 78703
(30.2718120740367, -97.7540345720547)",2800411,Routine Inspection
24 Diner,78703,02/04/2014,76,"600 N LAMAR BLVD
AUSTIN, TX 78703
(30.2718120740367, -97.7540345720547)",2800411,Routine Inspection
290 West Bar & Grill,78737,05/21/2014,100,"12013 W US 290 HWY
AUSTIN, TX 78737
(30.2105836346426, -97.9687451133918)",2802301,Routine Inspection
290 West Bar & Grill,78737,04/07/2015,97,"12013 W US 290 HWY
AUSTIN, TX 78737
(30.2105836346426, -97.9687451133918)",2802301,Routine Inspection
290 West Bar & Grill,78737,03/13/2013,100,"12013 W US 290 HWY
AUSTIN, TX 78737
(30.2105836346426, -97.9687451133918)",2802301,Routine Inspection
290 West Bar & Grill,78737,11/03/2015,97,"12013 W US 290 HWY
AUSTIN, TX 78737
(30.2105836346426, -97.9687451133918)",2802301,Routine Inspection
